"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          7252 Steamfitters, pipefitters and sprinkler system installers",2145,370,470,660,295,365,645 
"          7253 Gas fitters",960,175,315,375,195,180,90 
"        727 Carpenters and cabinetmakers",24190,5875,5885,7720,3420,4305,4710 
"          7271 Carpenters",19860,4755,4745,6445,2855,3590,3915 
"          7272 Cabinetmakers",4330,1115,1135,1275,565,710,800 
"        728 Masonry and plastering trades",16950,4135,4095,5545,2325,3225,3180 
"          7281 Bricklayers",3735,1270,955,940,375,565,570 
"          7282 Concrete finishers",2780,820,615,895,350,545,450 
"          7283 Tilesetters",4070,850,925,1530,640,890,760 
"          7284 Plasterers, drywall installers and finishers and lathers",6365,1195,1600,2170,950,1220,1395 
"        729 Other construction trades",24930,4630,6305,9120,4085,5035,4880 
"          7291 Roofers and shinglers",3605,630,815,1285,515,775,875 
"          7292 Glaziers",1550,265,345,575,270,310,360 
"          7293 Insulators",1715,300,315,685,265,420,410 
"          7294 Painters and decorators (except interior decorators)",13755,2580,3485,5130,2310,2815,2570 
"          7295 Floor covering installers",4300,855,1345,1440,730,715,660 
"      73 Maintenance and equipment operation trades",68265,17850,20250,21020,10745,10280,9140 
"        730 Contractors and supervisors, maintenance trades and heavy equipment and transport operators",8110,2295,2405,2470,1320,1150,935 
"          7301 Contractors and supervisors, mechanic trades",2445,725,745,760,425,340,205 
"          7302 Contractors and supervisors, heavy equipment operator crews",3260,955,850,960,490,475,495 
"          7303 Supervisors, printing and related occupations",565,205,200,100,65,35,60 
"          7304 Supervisors, railway transport operations",200,50,40,105,55,50,15 
"          7305 Supervisors, motor transport and other ground transit operators",1640,370,570,540,285,260,165 
"        731 Machinery and transportation equipment mechanics (except motor vehicles)",19365,5220,5640,6135,3440,2695,2370 
"          7311 Construction millwrights and industrial mechanics",8400,2430,2435,2605,1560,1050,935 
"          7312 Heavy-duty equipment mechanics",2920,715,735,925,390,535,540 
"          7313 Heating, refrigeration and air conditioning mechanics",3340,815,1020,1130,665,465,375 
"          7314 Railway carmen/women",270,50,95,70,40,30,60 
"          7315 Aircraft mechanics and aircraft inspectors",3465,960,1100,1095,645,445,310 
"          7316 Machine fitters",445,125,115,135,45,90,75 
"          7318 Elevator constructors and mechanics",515,130,145,170,95,75,70 
"        732 Automotive service technicians",30535,7645,9310,9245,4475,4765,4335 
"          7321 Automotive service technicians, truck and bus mechanics and mechanical repairers",25375,6040,7685,7930,3855,4075,3720 
"          7322 Motor vehicle body repairers",5165,1600,1625,1315,620,690,615 
"        733 Other mechanics and related repairers",3740,830,975,1340,655,685,590 
"          7331 Oil and solid fuel heating mechanics",265,25,100,110,65,45,30 
"          7332 Appliance servicers and repairers",1330,340,365,425,245,185,200 
"          7333 Electrical mechanics",1535,300,355,625,280,345,260 
"          7334 Motorcycle, all-terrain vehicle and other related mechanics",420,120,105,135,50,85,55 
"          7335 Other small engine and small equipment repairers",190,50,50,40,10,25,45 
"        736 Train crew operating occupations",500,125,145,165,95,75,60 
"          7361 Railway and yard locomotive engineers",225,75,65,65,45,20,15 
"          7362 Railway conductors and brakemen/women",270,40,80,105,50,55,40 
"        737 Crane operators, drillers and blasters",1285,335,340,380,155,230,225 
"          7371 Crane operators",1045,320,270,310,130,175,145 
"          7372 Drillers and blasters - surface mining, quarrying and construction",220,15,55,65,20,50,75 
"          7373 Water well drillers",20,0,10,10,0,0,0 
"        738 Printing press operators and other trades and related occupations, n.e.c.",4730,1395,1430,1285,605,680,610 
"          7381 Printing press operators",3530,1070,1090,930,425,505,440 
"          7384 Other trades and related occupations, n.e.c.",1200,325,345,355,180,175,170 
"      74 Other installers, repairers and servicers and material handlers",61730,10450,16980,21065,9270,11800,13235 
"        744 Other installers, repairers and servicers",12590,2160,3495,4530,2185,2350,2390 
"          7441 Residential and commercial installers and servicers",9300,1515,2670,3345,1530,1815,1775 
"          7442 Waterworks and gas maintenance workers",405,80,130,140,55,85,50 
"          7444 Pest controllers and fumigators",665,90,120,330,185,150,130 
"          7445 Other repairers and servicers",2215,475,580,715,415,300,440 
"        745 Longshore workers and material handlers",49145,8285,13485,16535,7085,9450,10845 
"          7451 Longshore workers",695,225,265,135,85,50,75 
"          7452 Material handlers",48450,8065,13215,16395,6995,9400,10770 
"      75 Transport and heavy equipment operation and related maintenance occupations",156535,30710,50815,54475,27765,26715,20535 
"        751 Motor vehicle and transit drivers",144445,28220,47370,50575,26050,24530,18280 
"          7511 Transport truck drivers",74100,12220,23660,27490,13815,13680,10725 
"          7512 Bus drivers, subway operators and other transit operators",18120,4680,6185,5845,3220,2625,1415 
"          7513 Taxi and limousine drivers and chauffeurs",33305,7460,11680,10850,5810,5040,3315 
"          7514 Delivery and courier service drivers",18915,3860,5845,6395,3205,3190,2820 
"        752 Heavy equipment operators",5835,1475,1685,1785,820,965,890 
"          7521 Heavy equipment operators (except crane)",4230,1040,1175,1310,600,705,710 
"          7522 Public works maintenance equipment operators and related workers",1605,435,515,480,220,260,185 
"        753 Other transport equipment operators and related maintenance workers",6255,1015,1760,2110,890,1220,1370 
"          7531 Railway yard and track maintenance workers",580,145,140,130,60,70,165 
"          7532 Water transport deck and engine room crew",370,70,135,115,20,90,50 
"          7533 Boat and cable ferry operators and related occupations",145,25,30,65,30,35,25 
"          7534 Air transport ramp attendants",3320,535,1060,1130,515,610,600 
"          7535 Other automotive mechanical installers and servicers",1840,240,400,675,255,415,530 
"      76 Trades helpers, construction labourers and related occupations",40235,8200,9785,13570,6030,7545,8675 
"        761 Trades helpers and labourers",37110,7495,9060,12525,5540,6985,8020 
"          7611 Construction trades helpers and labourers",35450,7200,8655,11960,5300,6665,7640 
"          7612 Other trades helpers and labourers",1655,295,415,565,240,320,385 
"        762 Public works and other labourers, n.e.c.",3125,710,725,1040,485,555,650 
"          7621 Public works and maintenance labourers",2375,625,535,785,355,430,430 
"          7622 Railway and motor transport labourers",750,85,190,260,135,125,220 
"    8 Natural resources, agriculture and related production occupations",43745,7995,10610,15675,6450,9225,9465 
"      82 Supervisors and technical occupations in natural resources, agriculture and related production",7850,1950,2075,2430,1055,1375,1400 
"        821 Supervisors, logging and forestry",205,75,55,45,10,40,30 
"          8211 Supervisors, logging and forestry",205,75,55,45,10,40,25 
"        822 Contractors and supervisors, mining, oil and gas",1260,220,265,600,300,305,170 
"          8221 Supervisors, mining and quarrying",265,65,60,95,50,45,45 
"          8222 Contractors and supervisors, oil and gas drilling and services",995,155,205,510,250,260,125 
"        823 Underground miners, oil and gas drillers and related occupations",1260,215,300,460,190,275,280 
"          8231 Underground production and development miners",360,95,75,135,35,100,50 
"          8232 Oil and gas well drillers, servicers, testers and related workers",900,120,230,325,155,170,225 
"        824 Logging machinery operators",160,30,40,55,20,35,35 
"          8241 Logging machinery operators",160,35,45,55,15,40,35 
"        825 Contractors and supervisors, agriculture, horticulture and related operations and services",4110,940,1145,1185,505,680,840 
"          8252 Agricultural service contractors, farm supervisors and specialized livestock workers",1375,210,320,425,130,290,425 
"          8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2740,725,830,770,370,395,420 
"        826 Fishing vessel masters and fishermen/women",860,470,260,75,40,40,55 
"          8261 Fishing masters and officers",80,35,30,10,10,10,10 
"          8262 Fishermen/women",780,430,230,65,35,35,45 
"      84 Workers in natural resources, agriculture and related production",19025,3005,4420,7050,2870,4175,4550 
"        841 Mine service workers and operators in oil and gas drilling",910,145,185,325,120,200,260 
"          8411 Underground mine service and support workers",175,20,50,75,30,40,35 
"          8412 Oil and gas well drilling and related workers and services operators",740,125,135,250,90,160,220 
"        842 Logging and forestry workers",670,100,150,255,125,130,160 
"          8421 Chain saw and skidder operators",245,55,65,90,45,45,45 
"          8422 Silviculture and forestry workers",420,50,85,165,85,85,115 
"        843 Agriculture and horticulture workers",17180,2650,3990,6420,2600,3825,4115 
"          8431 General farm workers",13340,1990,3060,5045,2060,2990,3245 
"          8432 Nursery and greenhouse workers",3840,660,935,1375,540,830,870 
"        844 Other workers in fishing and trapping and hunting occupations",265,105,90,50,20,30,15 
"          8441 Fishing vessel deckhands",250,100,90,45,20,30,15 
"          8442 Trappers and hunters",15,0,0,0,10,0,0 
"      86 Harvesting, landscaping and natural resources labourers",16865,3040,4115,6200,2525,3670,3515 
"        861 Harvesting, landscaping and natural resources labourers",16870,3040,4110,6195,2525,3675,3515 
"          8611 Harvesting labourers",4710,695,875,1910,640,1270,1225 
"          8612 Landscaping and grounds maintenance labourers",10780,2110,2910,3775,1675,2095,1990 
"          8613 Aquaculture and marine harvest labourers",175,55,60,40,25,15,25 
"          8614 Mine labourers",140,30,40,35,20,15,35 
"          8615 Oil and gas drilling, servicing and related labourers",695,100,140,310,100,210,145 
"          8616 Logging and forestry labourers",380,55,90,135,70,65,100 
"    9 Occupations in manufacturing and utilities",256505,54195,71170,80940,37220,43725,50205 
"      92 Processing, manufacturing and utilities supervisors and central control operators",21860,5050,6345,7640,4090,3555,2825 
"        921 Supervisors, processing and manufacturing occupations",9660,2210,2840,3180,1635,1540,1430 
"          9211 Supervisors, mineral and metal processing",965,310,265,305,160,140,85 
"          9212 Supervisors, petroleum, gas and chemical processing and utilities",1910,370,565,675,400,270,305 
"          9213 Supervisors, food and beverage processing",4225,825,1085,1510,730,785,800 
"          9214 Supervisors, plastic and rubber products manufacturing",1435,335,555,435,245,185,115 
"          9215 Supervisors, forest products processing",460,140,125,140,50,90,50 
"          9217 Supervisors, textile, fabric, fur and leather products processing and manufacturing",670,230,245,120,50,70,75 
"        922 Supervisors, assembly and fabrication",5095,1500,1830,1350,750,600,415 
"          9221 Supervisors, motor vehicle assembling",1590,530,555,400,265,135,100 
"          9222 Supervisors, electronics manufacturing",665,140,270,195,120,75,55 
"          9223 Supervisors, electrical products manufacturing",360,125,75,125,70,55,35 
"          9224 Supervisors, furniture and fixtures manufacturing",770,240,310,170,85,85,50 
"          9226 Supervisors, other mechanical and metal products manufacturing",710,220,260,170,60,110,70 
"          9227 Supervisors, other products manufacturing and assembly",1000,240,360,295,155,145,105 
"        923 Central control and process operators in processing and manufacturing",2820,500,615,1210,635,570,495 
"          9231 Central control and process operators, mineral and metal processing",175,45,65,30,10,25,40 
"          9232 Central control and process operators, petroleum, gas and chemical processing",2145,320,440,995,510,485,390 
"          9235 Pulping, papermaking and coating control operators",495,140,110,185,115,65,70 
"        924 Utilities equipment operators and controllers",4290,840,1060,1905,1065,835,485 
"          9241 Power engineers and power systems operators",3135,595,775,1410,830,580,350 
"          9243 Water and waste treatment plant operators",1155,240,285,495,235,260,135 
"      94 Processing and manufacturing machine operators and related production workers",78575,17965,22240,23615,10650,12970,14760 
"        941 Machine operators and related workers in mineral and metal products processing and manufacturing",17015,4175,4910,5200,2485,2720,2725 
"          9411 Machine operators, mineral and metal processing",1210,265,330,365,165,200,245 
"          9412 Foundry workers",740,280,175,180,50,130,100 
"          9413 Glass forming and finishing machine operators and glass cutters",1275,245,310,465,245,220,260 
"          9414 Concrete, clay and stone forming operators",1670,380,450,570,265,305,275 
"          9415 Inspectors and testers, mineral and metal processing",595,95,170,205,100,105,130 
"          9416 Metalworking and forging machine operators",4555,1205,1335,1325,635,680,700 
"          9417 Machining tool operators",4225,1100,1285,1300,660,645,540 
"          9418 Other metal products machine operators",2745,600,855,800,365,440,485 
"        942 Machine operators and related workers in chemical, plastic and rubber processing",12460,2495,3710,4105,1900,2205,2140 
"          9421 Chemical plant machine operators",3730,580,1035,1410,680,730,710 
"          9422 Plastics processing machine operators",7720,1705,2400,2405,1090,1320,1210 
"          9423 Rubber processing machine operators and related workers",1010,215,275,295,130,160,220 
"        943 Machine operators and related workers in pulp and paper production and wood processing and manufacturing",5995,1415,1700,1745,815,930,1140 
"          9431 Sawmill machine operators",870,210,220,220,95,120,225 
"          9432 Pulp mill machine operators",90,30,25,30,10,20,10 
"          9433 Papermaking and finishing machine operators",575,135,215,160,70,85,70 
"          9434 Other wood processing machine operators",1050,245,260,320,140,180,230 
"          9435 Paper converting machine operators",1400,330,445,395,220,180,230 
"          9436 Lumber graders and other wood processing inspectors and graders",260,75,75,55,15,40,55 
"          9437 Woodworking machine operators",1745,395,455,575,270,310,320 
"        944 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",15035,4685,5315,3315,1625,1685,1725 
"          9441 Textile fibre and yarn, hide and pelt processing machine operators and workers",1320,345,430,375,145,235,170 
"          9442 Weavers, knitters and other fabric making occupations",1235,330,390,290,135,155,220 
"          9445 Fabric, fur and leather cutters",930,325,280,230,125,100,100 
"          9446 Industrial sewing machine operators",10505,3460,3875,2080,1085,995,1090 
"          9447 Inspectors and graders, textile, fabric, fur and leather products manufacturing",1055,225,335,340,135,200,150 
"        946 Machine operators and related workers in food, beverage and associated products processing",22615,3705,4880,7850,3150,4700,6175 
"          9461 Process control and machine operators, food and beverage processing",12275,2165,3000,4225,1805,2425,2890 
"          9462 Industrial butchers and meat cutters, poultry preparers and related workers",7455,1000,1285,2605,855,1745,2565 
"          9463 Fish and seafood plant workers",1165,315,260,290,130,165,300 
"          9465 Testers and graders, food and beverage processing",1715,235,330,730,365,365,420 
"        947 Printing equipment operators and related occupations",5460,1485,1725,1405,670,730,850 
"          9471 Plateless printing equipment operators",2795,790,850,680,305,375,470 
"          9472 Camera, platemaking and other prepress occupations",615,160,210,155,85,70,85 
"          9473 Binding and finishing machine operators",1550,405,510,420,205,210,215 
"          9474 Photographic and film processors",505,135,145,150,70,75,80 
"      95 Assemblers in manufacturing",67130,16645,19905,19605,9505,10100,10975 
"        952 Mechanical, electrical and electronics assemblers",39235,10455,11940,11175,5560,5615,5670 
"          9521 Aircraft assemblers and aircraft assembly inspectors",1930,630,450,610,280,335,240 
"          9522 Motor vehicle assemblers, inspectors and testers",20615,5765,6575,5500,2805,2690,2785 
"          9523 Electronics assemblers, fabricators, inspectors and testers",8340,2155,2725,2295,1210,1090,1165 
"          9524 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",3925,875,1140,1170,565,605,740 
"          9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",615,160,180,205,105,95,70 
"          9526 Mechanical assemblers and inspectors",3000,730,675,1085,435,650,505 
"          9527 Machine operators and inspectors, electrical apparatus manufacturing",810,140,205,305,155,155,160 
"        953 Other assembly and related occupations",27890,6190,7965,8430,3945,4490,5305 
"          9531 Boat assemblers and inspectors",125,40,25,35,10,30,20 
"          9532 Furniture and fixture assemblers and inspectors",5290,1160,1540,1535,735,800,1065 
"          9533 Other wood products assemblers and inspectors",2060,325,425,745,330,415,565 
"          9534 Furniture finishers and refinishers",2355,620,665,630,295,335,430 
"          9535 Plastic products assemblers, finishers and inspectors",5015,1205,1595,1435,715,725,780 
"          9536 Industrial painters, coaters and metal finishing process operators",4130,990,1165,1200,560,635,775 
"          9537 Other products assemblers, finishers and inspectors",8915,1845,2540,2850,1305,1550,1675 
"      96 Labourers in processing, manufacturing and utilities",88940,14530,22690,30075,12980,17095,21640 
"        961 Labourers in processing, manufacturing and utilities",88935,14535,22690,30080,12985,17095,21640 
"          9611 Labourers in mineral and metal processing",1535,380,355,435,210,230,365 
"          9612 Labourers in metal fabrication",3930,840,1075,1225,515,710,785 
"          9613 Labourers in chemical products processing and utilities",3075,450,910,1075,560,515,635 
"          9614 Labourers in wood, pulp and paper processing",3000,555,865,915,440,475,660 
"          9615 Labourers in rubber and plastic products manufacturing",2915,550,850,950,480,470,570 
"          9616 Labourers in textile processing",2020,385,610,645,330,315,385 
"          9617 Labourers in food and beverage processing",36005,5460,8290,12325,4995,7330,9930 
"          9618 Labourers in fish and seafood processing",1175,195,310,425,205,220,250 
"          9619 Other labourers in processing, manufacturing and utilities",35280,5705,9425,12080,5245,6840,8070 
"Note"
"[1] Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"[2] 'Admission category' refers to the name of the immigration program or group of programs under which an immigrant has been granted for the first time the right to live in Canada permanently by immigration authorities.   'Applicant type' refers to whether an immigrant was identified as the 'principal applicant' or 'secondary applicant' on the application for permanent residence.'Secondary applicant' includes immigrants who were identified as the married spouse, the common-law or conjugal partner or the dependant of the principal applicant on the application for permanent residence.   'Immigrant' refers to a person who is, or who has ever been, a landed immigrant or permanent resident. Such a person has been granted the right to live in Canada permanently by immigration authorities. Immigrants who have obtained Canadian citizenship by naturalization are included in this group.   In the 2016 Census of Population, data on admission category and applicant type are available for immigrants who landed in Canada between January 1, 1980, and May 10, 2016.   For more information on immigration variables, including information on their classifications, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016. "
"[2] Users are advised to consult data quality comments for 'Highest certificate, diploma or degree,' available in the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013."
"[3] Period of immigration refers to the period in which the immigrant first obtained landed immigrant or permanent resident status.  'Immigrant' refers to a person who is, or who has ever been, a landed immigrant or permanent resident. Such a person has been granted the right to live in Canada permanently by immigration authorities. Immigrants who have obtained Canadian citizenship by naturalization are included in this group.   For more information on immigration variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016."
"[4] Includes immigrants who landed in Canada on or prior to May 10, 2016."
"[5] Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the NOC 2016."
"[6] Includes persons aged 15 years and over who never worked for pay or self-employment or last worked for pay or self-employment prior to 2015."
"[7] Includes persons aged 15 years and over who have worked at some point in time between January 2015 and May 2016."
"Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016368."
